label,sample
podcast_episode,The Great God Pan
podcast_episode,On the Slab
podcast_episode,The Horror at Chilton Castle
podcast_episode,My Dear Emily
podcast_episode,The Adventure of Sam (The Money Diggers
podcast_episode,The Horse of the Invisible
podcast_episode,The Statement of Randolph Carter
podcast_episode,Some Words with a Mummy
podcast_episode,The Very Old Folk & The Thing in the Moonlight
podcast_episode,Smith: An Episode in a Lodging
podcast_episode,The White Ship
podcast_episode,Dagon
podcast_episode,The Moon Pool
podcast_episode,Dracula
podcast_episode,The Exiles Club & The Three Infernal Jokes
podcast_episode,The Street of the Four Winds
podcast_episode,Oh, Whistle, and I’ll Come to You, My Lad
podcast_episode,The Invisible Man
podcast_episode,The Fire of Asshurbanipal
podcast_episode,The Sea Raiders and Sea Curse
podcast_episode,Nightfall
podcast_episode,Moxon’s Master
podcast_episode,The Monster of Lake LaMetrie
podcast_episode,The New Catacomb
podcast_episode,The Ghosts of the Future
podcast_episode,The Necromancer
podcast_episode,The Slithering Shadow
podcast_episode,Wolfshead
podcast_episode,Skeleton
podcast_episode,Between the Lights
podcast_episode,The Cyprian Cat
podcast_episode,Black Destroyer
podcast_episode,The Stranger & A Diagnosis of Death
podcast_episode,A Resumed Identity & Beyond the Wall
podcast_episode,I Am Legend
podcast_episode,The Hound of Death
podcast_episode,The Picture of Dorian Gray
podcast_episode,Urban Legends & Random Obsessions 2
podcast_episode,The Case of Charles Dexter Ward
podcast_episode,The Kit
podcast_episode,History of the Necronomicon & Ibid
podcast_episode,Fishhead
podcast_episode,The Festival
podcast_episode,The HPLHS Time Machine!
podcast_episode,The Picture in the House
podcast_episode,The Mortal Immortal
podcast_episode,HPPodcraft LIVE in Providence 2017
podcast_episode,All Hallows
podcast_episode,H. P. Lovecraft Biography
podcast_episode,The Horror at Martin’s Beach
podcast_episode,Live Show Q & A
podcast_episode,The Minister’s Black Veil
podcast_episode,The Waters of Death
podcast_episode,The Apparition of Mrs. Veal
episode_number,39
episode_number,231
episode_number,442
episode_number,100
episode_number,323
episode_number,165
episode_number,458
episode_number,559
episode_number,241
episode_number,457
episode_number,465
episode_number,155
episode_number,529
episode_number,200
episode_number,472
episode_number,138
episode_number,116
episode_number,597
episode_number,240
episode_number,94
episode_number,72
episode_number,513
episode_number,211
episode_number,3
episode_number,2
episode_number,403
episode_number,237
episode_number,468
episode_number,219
episode_number,467
episode_number,385
episode_number,413
episode_number,44
episode_number,487
episode_number,255
episode_number,470
episode_number,417
episode_number,348
episode_number,439
episode_number,301
episode_number,69
episode_number,345
episode_number,149
episode_number,134
episode_number,369
episode_number,358
episode_number,552
episode_number,126
episode_number,82
episode_number,41
episode_number,179
episode_number,92
episode_number,364
episode_number,338
episode_number,128
episode_number,262
episode_number,438
episode_number,332
episode_number,222
episode_number,379
episode_number,142
episode_number,32
episode_number,469
episode_number,51
episode_number,443
episode_number,198
episode_number,502
episode_number,405
episode_number,482
episode_number,375
episode_number,247
episode_number,257
episode_number,367
episode_number,433
episode_number,415
episode_number,246
episode_number,192
episode_number,380
episode_number,562
episode_number,474
episode_number,452
episode_number,22
episode_number,404
episode_number,276
episode_number,253
episode_number,46
episode_number,54
episode_number,158
episode_number,319
episode_number,71
episode_number,353
episode_number,203
episode_number,193
episode_number,528
episode_number,577
episode_number,449
episode_number,594
episode_number,567
episode_number,459
episode_number,131
episode_number,494
episode_number,372
episode_number,281
episode_number,79
episode_number,178
episode_number,580
episode_number,26
episode_number,225
episode_number,541
episode_number,373
episode_number,204
episode_number,461
episode_number,208
episode_number,48
episode_number,480
episode_number,190
episode_number,412
episode_number,309
episode_number,146
episode_number,599
episode_number,144
episode_number,569
episode_number,526
episode_number,506
episode_number,495
episode_number,228
episode_number,351
episode_number,226
episode_number,483
episode_number,343
episode_number,148
episode_number,434
episode_number,271
episode_number,292
episode_number,424
episode_number,298
episode_number,197
episode_number,177
episode_number,130
episode_number,337
episode_number,517
episode_number,446
episode_number,111
episode_number,267
episode_number,489
episode_number,454
episode_number,295
episode_number,314
episode_number,395
episode_number,13
episode_number,161
episode_number,344
episode_number,207
episode_number,313
episode_number,120
episode_number,1
episode_number,532
episode_number,189
episode_number,600
episode_number,8
episode_number,407
episode_number,572
episode_number,232
episode_number,410
episode_number,251
episode_number,476
episode_number,125
episode_number,356
episode_number,242
episode_number,108
episode_number,518
episode_number,137
episode_number,447
episode_number,545
episode_number,31
episode_number,325
episode_number,245
episode_number,150
episode_number,548
episode_number,522
episode_number,538
episode_number,194
episode_number,581
episode_number,318
episode_number,576
episode_number,151
episode_number,524
episode_number,166
episode_number,127
episode_number,195
episode_number,397
episode_number,409
episode_number,66
episode_number,27
episode_number,392
episode_number,220
episode_number,525
episode_number,217
episode_number,560
episode_number,586
episode_number,453
episode_number,334
episode_number,261
episode_number,431
episode_number,212
episode_number,514
episode_number,419
episode_number,180
episode_number,406
episode_number,49
episode_number,486
episode_number,401
episode_number,430
episode_number,104
episode_number,238
episode_number,484
episode_number,516
episode_number,234
episode_number,12
episode_number,282
episode_number,592
episode_number,320
episode_number,574
episode_number,89
episode_number,588
episode_number,500
episode_number,542
episode_number,422
episode_number,341
episode_number,411
episode_number,582
episode_number,316
episode_number,273
episode_number,206
episode_number,45
episode_number,402
episode_number,264
episode_number,90
episode_number,435
episode_number,63
episode_number,110
episode_number,107
episode_number,73
episode_number,394
episode_number,61
episode_number,196
episode_number,24
episode_number,326
episode_number,350
episode_number,501
episode_number,101
episode_number,210
episode_number,184
episode_number,308
episode_number,58
episode_number,584
episode_number,169
episode_number,534
episode_number,317
episode_number,68
episode_number,335
episode_number,490
episode_number,229
episode_number,270
episode_number,156
episode_number,549
episode_number,182
episode_number,136
episode_number,93
episode_number,530
episode_number,497
episode_number,86
episode_number,186
episode_number,252
episode_number,553
episode_number,425
episode_number,593
episode_number,87
episode_number,11
episode_number,97
episode_number,183
episode_number,103
episode_number,408
episode_number,277
episode_number,260
episode_number,81
episode_number,52
episode_number,174
episode_number,496
episode_number,23
episode_number,102
episode_number,554
episode_number,163
episode_number,65
episode_number,95
episode_number,421
episode_number,531
episode_number,381
episode_number,83
episode_number,185
episode_number,342
episode_number,274
episode_number,75
episode_number,106
episode_number,389
episode_number,444
episode_number,96
episode_number,512
episode_number,510
episode_number,573
episode_number,399
episode_number,427
episode_number,10
episode_number,471
episode_number,595
episode_number,479
episode_number,152
episode_number,287
episode_number,114
episode_number,40
episode_number,388
episode_number,199
episode_number,258
episode_number,129
episode_number,371
episode_number,481
episode_number,286
episode_number,164
episode_number,537
episode_number,175
episode_number,492
episode_number,363
episode_number,596
episode_number,505
episode_number,575
episode_number,173
episode_number,50
episode_number,466
episode_number,305
episode_number,360
episode_number,566
episode_number,315
episode_number,29
episode_number,503
episode_number,331
episode_number,432
episode_number,564
episode_number,62
episode_number,456
episode_number,429
episode_number,330
episode_number,523
episode_number,293
episode_number,223
episode_number,498
episode_number,230
episode_number,561
episode_number,508
episode_number,236
episode_number,539
episode_number,4
episode_number,557
episode_number,451
episode_number,259
episode_number,167
episode_number,218
episode_number,291
episode_number,187
episode_number,294
episode_number,579
episode_number,60
episode_number,333
episode_number,265
episode_number,37
episode_number,99
episode_number,393
episode_number,30
episode_number,382
episode_number,256
episode_number,113
episode_number,288
episode_number,507
episode_number,307
episode_number,132
episode_number,398
episode_number,509
episode_number,473
episode_number,460
episode_number,162
episode_number,448
episode_number,515
episode_number,491
episode_number,263
episode_number,74
episode_number,368
episode_number,201
episode_number,583
episode_number,157
episode_number,85
episode_number,455
episode_number,80
episode_number,285
episode_number,283
episode_number,450
episode_number,243
episode_number,306
episode_number,172
episode_number,14
episode_number,463
episode_number,322
episode_number,312
episode_number,384
episode_number,598
episode_number,544
episode_number,35
episode_number,67
episode_number,145
episode_number,535
episode_number,279
episode_number,227
episode_number,84
episode_number,280
episode_number,171
episode_number,296
episode_number,216
episode_number,266
episode_number,143
episode_number,121
episode_number,400
